stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
301018.SZ,2026-03-05,2026-03-09,-0.689199840087175,102.73,106.66,101.01,申菱环境,广东,专用机械,创业板,L,2021-07-07 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301018/
301595.SZ,2026-03-05,2026-03-09,-0.690759044255579,62.47,65.23,63.53,太力科技,广东,橡胶,创业板,L,2025-05-19 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301595/
300512.SZ,2026-03-05,2026-03-09,-0.6911746437005166,10.31,10.43,10.35,中亚股份,浙江,专用机械,创业板,L,2016-05-26 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300512/
601898.SH,2026-02-04,2026-02-06,-0.6911993342007223,14.08,14.32,14.18,中煤能源,北京,煤炭开采,主板,L,2008-02-01 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/601898/
002518.SZ,2026-02-06,2026-02-10,-0.6914439265123195,51.8,53.15,52.09,科士达,深圳,电气设备,主板,L,2010-12-07 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002518/
300054.SZ,2026-01-07,2026-01-09,-0.6915803919277584,44.83,45.54,45.01,鼎龙股份,湖北,化工原料,创业板,L,2010-02-11 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300054/
002028.SZ,2026-03-05,2026-03-09,-0.6918371889344727,230.7,233.51,229.06,思源电气,上海,电气设备,主板,L,2004-08-05 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002028/
000531.SZ,2026-03-06,2026-03-10,-0.6918659389487942,7.07,7.15,7.1,穗恒运Ａ,广东,火力发电,主板,L,1994-01-06 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/000531/
600251.SH,2026-01-28,2026-01-30,-0.69252170316049,10.92,11.14,10.86,冠农股份,新疆,农业综合,主板,L,2003-06-09 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600251/
301326.SZ,2026-03-05,2026-03-09,-0.6927671429019622,147.17,154.0,147.1,捷邦科技,广东,元器件,创业板,L,2022-09-21 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301326/
301199.SZ,2026-01-15,2026-01-19,-0.6931745858417924,24.74,25.04,24.86,迈赫股份,山东,专用机械,创业板,L,2021-12-07 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301199/
600229.SH,2026-03-05,2026-03-09,-0.6932979753848096,6.24,6.32,6.27,城市传媒,山东,出版业,主板,L,2000-03-09 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600229/
600340.SH,2026-01-07,2026-01-09,-0.6935789342968114,2.26,2.29,2.25,华夏幸福,河北,园区开发,主板,L,2003-12-30 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/600340/
002593.SZ,2026-03-05,2026-03-09,-0.6936971368017347,5.73,5.83,5.77,日上集团,福建,钢加工,主板,L,2011-06-28 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002593/
