形态,stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
品字形,002570.SZ,2026-01-16,2026-01-20,-0.5800762590940866,6.33,6.5,6.34,贝因美,浙江,乳制品,主板,L,2011-04-12 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002570/
品字形,002201.SZ,2026-01-23,2026-01-27,-0.5804190385656744,14.8,16.28,15.03,九鼎新材,江苏,玻璃,主板,L,2007-12-26 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002201/
品字形,600336.SH,2026-03-05,2026-03-09,-0.5827594112386224,7.39,7.47,7.4,澳柯玛,山东,家用电器,主板,L,2000-12-29 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600336/
品字形,301522.SZ,2025-12-12,2025-12-16,-0.5842262809163417,34.26,34.68,34.3,上大股份,河北,小金属,创业板,L,2024-10-16 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301522/
品字形,300091.SZ,2025-12-30,2026-01-06,-0.5850513122759425,2.99,3.18,2.96,*ST金灵,江苏,机械基件,创业板,L,2010-06-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300091/
品字形,600105.SH,2025-12-26,2025-12-30,-0.5853527362784045,25.88,26.14,25.91,永鼎股份,江苏,通信设备,主板,L,1997-09-29 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/600105/
品字形,600100.SH,2026-02-26,2026-03-02,-0.5857512161029684,9.37,9.52,9.35,同方股份,北京,IT设备,主板,L,1997-06-27 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600100/
品字形,301005.SZ,2025-12-12,2025-12-16,-0.5858284788034079,96.78,101.7,97.5,超捷股份,上海,汽车配件,创业板,L,2021-06-01 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301005/
品字形,002792.SZ,2026-01-23,2026-01-27,-0.5865987195284699,52.17,55.25,52.7,通宇通讯,广东,通信设备,主板,L,2016-03-28 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002792/
品字形,603130.SH,2026-01-07,2026-01-09,-0.5867638056716121,55.4,56.32,55.3,云中马,浙江,纺织,主板,L,2022-11-18 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603130/
品字形,301321.SZ,2026-03-05,2026-03-09,-0.5870131267855273,23.03,23.46,23.01,翰博高新,安徽,元器件,创业板,L,2022-08-18 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301321/
品字形,300007.SZ,2026-03-05,2026-03-09,-0.588173294916682,48.28,48.95,48.28,汉威科技,河南,电器仪表,创业板,L,2009-10-30 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300007/
品字形,600822.SH,2026-03-05,2026-03-09,-0.5883032285321003,10.45,10.63,10.47,上海物贸,上海,汽车服务,主板,L,1994-02-04 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600822/
品字形,600838.SH,2026-03-05,2026-03-09,-0.5902543900888017,10.74,10.86,10.76,上海九百,上海,百货,主板,L,1994-02-24 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600838/
品字形,301380.SZ,2025-12-31,2026-01-06,-0.590849681871504,37.8,38.98,37.92,挖金客,北京,软件服务,创业板,L,2022-10-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301380/
品字形,603528.SH,2025-12-24,2025-12-26,-0.5910437128310437,10.62,10.74,10.62,多伦科技,江苏,软件服务,主板,L,2016-05-03 00:00:00,H,外资,https://stockpage.10jqka.com.cn/603528/
品字形,301491.SZ,2026-02-26,2026-03-02,-0.5917057008936998,57.82,58.85,58.03,汉桑科技,江苏,IT设备,创业板,L,2025-08-06 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301491/
品字形,301392.SZ,2025-12-15,2025-12-17,-0.5929921487967796,141.09,142.42,140.91,汇成真空,广东,专用机械,创业板,L,2024-06-05 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301392/
品字形,300307.SZ,2026-03-05,2026-03-09,-0.5941010460957519,6.99,7.07,6.99,慈星股份,浙江,纺织机械,创业板,L,2012-03-29 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300307/
品字形,603400.SH,2026-02-26,2026-03-02,-0.5941322799051496,73.18,74.0,73.05,华之杰,江苏,机械基件,主板,L,2025-06-20 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603400/
品字形,688077.SH,2025-12-19,2025-12-23,-0.5952715770912491,30.64,30.95,30.69,大地熊,安徽,矿物制品,科创板,L,2020-07-22 00:00:00,N,自然人,https://stockpage.10jqka.com.cn/688077/
品字形,300076.SZ,2026-03-05,2026-03-09,-0.5958645856090228,7.68,7.78,7.69,GQY视讯,浙江,IT设备,创业板,L,2010-04-30 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/300076/
品字形,605081.SH,2026-03-05,2026-03-09,-0.596280806707419,9.8,9.93,9.8,*ST太和,上海,环境保护,主板,L,2021-02-09 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/605081/
品字形,300051.SZ,2026-02-03,2026-02-05,-0.5964707756059183,10.47,11.15,10.43,琏升科技,江苏,综合类,创业板,L,2010-02-11 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300051/
品字形,600824.SH,2026-01-06,2026-01-08,-0.5973598425948395,4.69,4.73,4.68,益民集团,上海,百货,主板,L,1994-02-04 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600824/
品字形,300233.SZ,2026-03-05,2026-03-09,-0.5973703663941842,14.84,15.14,14.9,金城医药,山东,化学制药,创业板,L,2011-06-22 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300233/
品字形,300449.SZ,2026-03-02,2026-03-04,-0.5976276849359828,8.43,8.55,8.43,汉邦高科,北京,IT设备,创业板,L,2015-04-22 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300449/
品字形,002192.SZ,2025-12-23,2025-12-25,-0.5976468889706169,52.68,54.23,52.68,融捷股份,广东,小金属,主板,L,2007-12-05 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002192/
品字形,603650.SH,2026-01-08,2026-01-12,-0.5997743453761106,56.73,57.62,56.66,彤程新材,上海,化工原料,主板,L,2018-06-27 00:00:00,H,外资,https://stockpage.10jqka.com.cn/603650/
品字形,300650.SZ,2026-03-05,2026-03-09,-0.5998201648197605,17.08,17.33,17.11,太龙股份,福建,元器件,创业板,L,2017-05-03 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300650/
品字形,300591.SZ,2026-03-05,2026-03-09,-0.600548097092897,7.78,7.88,7.8,万里马,广东,服饰,创业板,L,2017-01-10 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300591/
品字形,603031.SH,2026-03-05,2026-03-09,-0.6027181095323461,52.88,53.69,53.05,安孚科技,安徽,电气设备,主板,L,2016-08-22 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603031/
品字形,688598.SH,2026-01-15,2026-01-19,-0.6031011425460611,30.7,31.15,30.63,金博股份,湖南,矿物制品,科创板,L,2020-05-18 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688598/
品字形,600138.SH,2026-01-06,2026-01-08,-0.6048319427851252,9.84,9.97,9.87,中青旅,北京,旅游景点,主板,L,1997-12-03 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600138/
